date,year,locality,estimated_value,sale_price,property,residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,face,year_from_date,month_num,month_name,year_month,price_diff,pct_diff,valuation_status,sale_price_outlier_flag,estimated_value_outlier_flag,price_diff_outlier_flag,pct_diff_outlier_flag
2009-01-02,2009,Waterbury,111440.0,185000.0,Single Family,Detached House,3,3,996.0,1.025953,South,2009,1,January,2009-01,73560.0,66.0086145010768,Overvalued,False,False,False,False
2009-01-02,2009,Unknown,73080.0,152000.0,Single Family,Detached House,3,1,935.0,1.025953,North,2009,1,January,2009-01,78920.0,107.9912424740011,Overvalued,False,False,False,False
2009-01-02,2009,Waterbury,50540.0,105000.0,Single Family,Detached House,3,1,951.0,1.025953,East,2009,1,January,2009-01,54460.0,107.7562326869806,Overvalued,False,False,False,False
2009-01-02,2009,Norwalk,571060.0,1000000.0,Single Family,Detached House,3,2,1021.0,1.025953,South,2009,1,January,2009-01,428940.0,75.11294785136413,Overvalued,False,False,False,False
2009-01-02,2009,Bridgeport,4775276.0,272900.0,Single Family,Detached House,3,1,971.0,1.025953,East,2009,1,January,2009-01,-4502376.0,-94.28514707840971,Undervalued,False,True,True,True
2009-01-03,2009,Norwalk,172620.0,409000.0,?,Detached House,3,3,1004.0,1.025953,South,2009,1,January,2009-01,236380.0,136.93662379793767,Overvalued,False,False,False,False
2009-01-04,2009,Norwalk,208880.0,370000.0,Single Family,Detached House,3,2,1063.0,1.025953,South,2009,1,January,2009-01,161120.0,77.13519724243585,Overvalued,False,False,False,False
2009-01-04,2009,Waterbury,83300.0,220000.0,Two Family,Duplex,4,4,1471.0,1.025953,South,2009,1,January,2009-01,136700.0,164.10564225690277,Overvalued,False,False,False,True
2009-01-05,2009,Unknown,73990.0,195000.0,Single Family,Detached House,3,1,960.0,1.025953,North,2009,1,January,2009-01,121010.0,163.54912826057574,Overvalued,False,False,False,True
2009-01-05,2009,Greenwich,2095100.0,2860000.0,Single Family,Detached House,3,1,963.0,1.025953,East,2009,1,January,2009-01,764900.0,36.5089971839053,Overvalued,True,True,True,False
2009-01-05,2009,Norwalk,186410.0,340000.0,Single Family,Detached House,3,2,933.0,1.025953,East,2009,1,January,2009-01,153590.0,82.3936484094201,Overvalued,False,False,False,False
